increase_frequency:30000 first_frequency:10 last_frequency:100
frequency transmission_ep receiving_ep power_efficiency
10kHz
30.0 0.44 0.64 
30.0 0.44 0.65 
30.0 0.45 0.65 
30.0 0.45 0.65 
30.0 0.46 0.66 
30.0 0.45 0.68 
30.0 0.45 0.66 
30.0 0.45 0.66 
30.0 0.45 0.65 
30.0 0.45 0.66 
30.0 0.45 0.65 
30.0 0.44 0.66 
30.0 0.48 0.66 
30.0 0.44 0.66 
30.0 0.45 0.66 
30.0 0.45 0.66 
30.0 0.45 0.65 
30.0 0.45 0.65 
30.0 0.45 0.66 
30.0 0.45 0.68 
30.0 0.45 0.66 
30.0 0.45 0.66 
30.0 0.45 0.66 
30.0 0.46 0.66 
30.0 0.45 0.66 
30.0 0.45 0.66 
30.0 0.46 0.67 
30.0 0.46 0.66 
30.0 0.45 0.66 
30.0 0.46 0.67 
30.0 0.46 0.66 
30.0 0.45 0.66 
30.0 0.46 0.66 
30.0 0.46 0.67 
30.0 0.46 0.67 
30.0 0.46 0.67 
30.0 0.47 0.67 
30.0 0.45 0.67 
30.0 0.45 0.67 
30.0 0.45 0.67 
30.0 0.45 0.68 
30.0 0.45 0.66 
30.0 0.45 0.67 
30.0 0.46 0.66 
30.0 0.46 0.66 
30.0 0.46 0.67 
30.0 0.46 0.67 
30.0 0.46 0.66 
30.0 0.45 0.67 
50.0kHz
50.0 0.17 0.33 
50.0 0.05 0.18 
50.0 0.00 0.11 
50.0 0.00 0.09 
50.0 0.00 0.09 
50.0 0.00 0.12 
50.0 0.00 0.08 
50.0 0.00 0.09 
50.0 0.00 0.09 
50.0 0.00 0.09 
50.0 0.00 0.11 
50.0 0.00 0.11 
50.0 0.00 0.10 
50.0 0.00 0.12 
50.0 0.00 0.11 
50.0 0.00 0.12 
50.0 0.00 0.13 
50.0 0.00 0.12 
50.0 0.00 0.11 
50.0 0.00 0.12 
50.0 0.00 0.12 
50.0 0.00 0.13 
50.0 0.00 0.12 
50.0 0.00 0.11 
50.0 0.00 0.11 
50.0 0.00 0.11 
50.0 0.00 0.13 
50.0 0.00 0.14 
50.0 0.00 0.13 
50.0 0.00 0.13 
50.0 0.00 0.08 
50.0 0.00 0.11 
50.0 0.00 0.10 
50.0 0.00 0.09 
50.0 0.00 0.10 
50.0 0.00 0.10 
50.0 0.00 0.09 
50.0 0.00 0.09 
50.0 0.00 0.09 
50.0 0.00 0.08 
50.0 0.00 0.09 
50.0 0.00 0.09 
50.0 0.00 0.12 
50.0 0.00 0.13 
50.0 0.00 0.13 
50.0 0.00 0.13 
50.0 0.00 0.14 
50.0 0.00 0.14 
50.0 0.00 0.14 
50.0 0.00 0.13 
70.0kHz
70.0 0.71 1.29 
70.0 0.73 1.33 
70.0 0.73 1.33 
70.0 0.70 1.33 
70.0 0.73 1.33 
70.0 0.72 1.32 
70.0 0.71 1.31 
70.0 0.71 1.32 
70.0 0.70 1.30 
70.0 0.69 1.31 
70.0 0.70 1.30 
70.0 0.70 1.30 
70.0 0.73 1.31 
70.0 0.70 1.37 
70.0 0.70 1.30 
70.0 0.72 1.32 
70.0 0.69 1.30 
70.0 0.71 1.31 
70.0 0.70 1.31 
70.0 0.71 1.28 
70.0 0.72 1.32 
70.0 0.71 1.33 
70.0 0.71 1.32 
70.0 0.72 1.33 
70.0 0.72 1.32 
70.0 0.72 1.31 
70.0 0.72 1.31 
70.0 0.72 1.32 
70.0 0.72 1.32 
70.0 0.75 1.32 
70.0 0.72 1.32 
70.0 0.71 1.32 
70.0 0.72 1.32 
70.0 0.73 1.34 
70.0 0.71 1.32 
70.0 0.72 1.32 
70.0 0.72 1.31 
70.0 0.72 1.32 
70.0 0.71 1.32 
70.0 0.73 1.33 
70.0 0.72 1.33 
70.0 0.73 1.33 
70.0 0.71 1.31 
70.0 0.73 1.32 
70.0 0.72 1.32 
70.0 0.73 1.32 
70.0 0.72 1.31 
70.0 0.72 1.32 
70.0 0.73 1.34 
70.0 0.72 1.33 
90.0kHz
90.0 1.57 2.32 
90.0 1.57 2.33 
90.0 1.57 2.35 
90.0 1.56 2.33 
90.0 1.56 2.33 
90.0 1.57 2.31 
90.0 1.56 2.31 
90.0 1.56 2.33 
90.0 1.57 2.33 
90.0 1.57 2.34 
90.0 1.57 2.32 
90.0 1.58 2.33 
90.0 1.62 2.31 
90.0 1.55 2.33 
90.0 1.58 2.33 
90.0 1.57 2.33 
90.0 1.57 2.38 
90.0 1.56 2.33 
90.0 1.57 2.33 
90.0 1.56 2.33 
90.0 1.57 2.33 
90.0 1.56 2.33 
90.0 1.56 2.33 
90.0 1.56 2.31 
90.0 1.57 2.33 
90.0 1.57 2.33 
90.0 1.57 2.33 
90.0 1.59 2.34 
90.0 1.55 2.33 
90.0 1.55 2.33 
90.0 1.56 2.33 
90.0 1.56 2.34 
90.0 1.57 2.32 
90.0 1.56 2.32 
90.0 1.57 2.36 
90.0 1.53 2.33 
90.0 1.58 2.32 
90.0 1.57 2.32 
