increase_frequency:5000 first_frequency:5 last_frequency:100
frequency transmission_ep receiving_ep power_efficiency
5kHz
25.0 0.64 0.18 
25.0 0.64 0.18 
25.0 0.68 0.17 
25.0 0.66 0.18 
25.0 0.66 0.17 
25.0 0.64 0.17 
25.0 0.64 0.17 
25.0 0.67 0.18 
25.0 0.66 0.17 
25.0 0.66 0.17 
25.0 0.65 0.18 
25.0 0.64 0.18 
30.0kHz
30.0 0.14 0.03 
30.0 0.04 0.01 
30.0 0.10 0.00 
30.0 0.08 0.00 
30.0 0.06 0.00 
30.0 0.12 0.00 
30.0 0.05 0.00 
30.0 0.12 0.00 
30.0 0.06 0.00 
30.0 0.08 0.00 
30.0 0.21 0.00 
30.0 0.14 0.00 
30.0 0.04 0.00 
30.0 0.12 0.00 
30.0 0.08 0.00 
30.0 0.07 0.00 
30.0 0.12 0.00 
30.0 0.05 0.00 
30.0 0.13 0.00 
30.0 0.05 0.00 
30.0 0.11 0.00 
30.0 0.09 0.00 
30.0 0.07 0.00 
30.0 0.11 0.00 
30.0 0.05 0.00 
30.0 0.13 0.00 
30.0 0.06 0.00 
30.0 0.10 0.00 
30.0 0.09 0.00 
30.0 0.07 0.00 
30.0 0.12 0.00 
30.0 0.05 0.00 
30.0 0.13 0.00 
30.0 0.06 0.01 
30.0 0.08 0.00 
30.0 0.13 0.00 
30.0 0.13 0.00 
30.0 0.04 0.00 
30.0 0.11 0.00 
30.0 0.08 0.00 
30.0 0.06 0.00 
30.0 0.13 0.00 
30.0 0.04 0.00 
30.0 0.13 0.00 
30.0 0.05 0.00 
30.0 0.10 0.00 
30.0 0.08 0.00 
30.0 0.07 0.00 
30.0 0.12 0.00 
30.0 0.04 0.00 
35.0kHz
35.0 0.74 0.26 
35.0 0.99 0.27 
35.0 0.88 0.27 
35.0 0.88 0.27 
35.0 0.98 0.27 
35.0 0.87 0.27 
35.0 0.74 0.27 
35.0 0.94 0.27 
35.0 0.93 0.27 
35.0 0.71 0.27 
35.0 0.90 0.27 
35.0 0.98 0.27 
35.0 0.75 0.27 
35.0 0.91 0.26 
35.0 0.96 0.26 
35.0 0.74 0.27 
35.0 0.85 0.27 
35.0 1.00 0.26 
35.0 0.76 0.26 
35.0 0.79 0.27 
35.0 0.76 0.27 
35.0 0.77 0.27 
35.0 0.82 0.22 
35.0 1.00 0.26 
35.0 0.82 0.26 
35.0 0.76 0.27 
35.0 1.00 0.27 
35.0 0.87 0.26 
35.0 0.86 0.27 
35.0 0.99 0.27 
35.0 0.86 0.27 
35.0 0.74 0.27 
35.0 0.96 0.27 
35.0 0.92 0.27 
35.0 0.71 0.27 
35.0 0.91 0.27 
35.0 0.96 0.27 
35.0 0.74 0.27 
35.0 0.92 0.27 
35.0 0.95 0.27 
35.0 0.74 0.27 
35.0 0.87 0.27 
35.0 1.00 0.27 
35.0 0.75 0.27 
35.0 0.82 0.25 
35.0 0.83 0.27 
35.0 0.77 0.27 
35.0 0.83 0.31 
35.0 1.00 0.27 
35.0 0.80 0.27 
40.0kHz
40.0 0.83 0.27 
40.0 0.83 0.27 
40.0 0.89 0.28 
40.0 0.88 0.28 
40.0 0.94 0.29 
40.0 1.00 0.28 
40.0 1.20 0.28 
40.0 1.02 0.28 
40.0 0.98 0.30 
40.0 0.93 0.27 
40.0 0.93 0.28 
40.0 0.87 0.28 
40.0 0.81 0.28 
40.0 0.85 0.27 
40.0 0.83 0.27 
40.0 0.87 0.27 
40.0 0.94 0.28 
40.0 0.94 0.29 
40.0 0.99 0.27 
40.0 1.02 0.28 
40.0 0.99 0.27 
40.0 0.98 0.27 
40.0 0.92 0.29 
40.0 0.87 0.28 
40.0 0.88 0.28 
40.0 0.82 0.27 
40.0 0.83 0.27 
40.0 0.86 0.27 
40.0 0.88 0.28 
40.0 0.94 0.28 
40.0 1.01 0.27 
40.0 1.18 0.27 
40.0 1.01 0.27 
40.0 0.98 0.27 
40.0 0.92 0.28 
40.0 0.93 0.31 
40.0 0.87 0.28 
40.0 0.83 0.27 
40.0 0.81 0.27 
40.0 0.85 0.27 
40.0 0.87 0.29 
40.0 0.95 0.28 
40.0 0.95 0.28 
40.0 0.99 0.28 
40.0 1.03 0.33 
40.0 1.03 0.28 
40.0 0.99 0.28 
40.0 0.92 0.28 
40.0 0.87 0.28 
40.0 0.88 0.27 
45.0kHz
45.0 0.61 0.13 
45.0 0.54 0.12 
45.0 0.52 0.12 
45.0 0.56 0.12 
45.0 0.53 0.12 
45.0 0.57 0.11 
45.0 0.54 0.11 
45.0 0.55 0.12 
45.0 0.52 0.11 
45.0 0.51 0.11 
45.0 0.62 0.11 
45.0 0.55 0.12 
45.0 0.58 0.12 
45.0 0.57 0.12 
45.0 0.56 0.12 
45.0 0.53 0.12 
45.0 0.50 0.11 
45.0 0.60 0.11 
45.0 0.57 0.11 
45.0 0.64 0.11 
45.0 0.50 0.12 
45.0 0.53 0.12 
45.0 0.55 0.07 
45.0 0.53 0.12 
45.0 0.59 0.12 
45.0 0.59 0.11 
45.0 0.55 0.11 
45.0 0.52 0.11 
45.0 0.44 0.11 
45.0 0.54 0.11 
45.0 0.59 0.14 
45.0 0.59 0.12 
45.0 0.60 0.11 
45.0 0.55 0.12 
45.0 0.50 0.11 
45.0 0.58 0.12 
45.0 0.54 0.11 
45.0 0.56 0.11 
45.0 0.52 0.10 
45.0 0.55 0.12 
45.0 0.51 0.12 
45.0 0.57 0.12 
45.0 0.60 0.12 
45.0 0.59 0.12 
45.0 0.69 0.12 
45.0 0.54 0.12 
45.0 0.56 0.14 
45.0 0.51 0.12 
45.0 0.57 0.12 
45.0 0.57 0.11 
50.0kHz
50.0 0.28 0.02 
50.0 0.20 0.01 
50.0 0.23 0.01 
50.0 0.23 0.01 
50.0 0.11 0.00 
50.0 0.26 0.02 
50.0 0.21 0.00 
50.0 0.22 0.00 
50.0 0.23 0.00 
50.0 0.12 0.01 
50.0 0.26 0.01 
50.0 0.21 0.00 
50.0 0.22 0.01 
50.0 0.23 0.00 
50.0 0.13 0.01 
50.0 0.27 0.01 
50.0 0.21 0.00 
50.0 0.24 0.01 
50.0 0.24 0.01 
50.0 0.17 0.01 
50.0 0.27 0.01 
50.0 0.20 0.00 
50.0 0.23 0.01 
50.0 0.23 0.01 
50.0 0.14 0.01 
50.0 0.26 0.01 
50.0 0.21 0.00 
50.0 0.26 0.01 
50.0 0.23 0.01 
50.0 0.16 0.01 
50.0 0.26 0.01 
50.0 0.21 0.01 
50.0 0.26 0.00 
50.0 0.23 0.00 
50.0 0.12 0.01 
50.0 0.26 0.01 
50.0 0.21 0.00 
50.0 0.23 0.01 
50.0 0.23 0.01 
50.0 0.16 0.02 
50.0 0.26 0.00 
50.0 0.21 0.01 
50.0 0.23 0.00 
50.0 0.23 0.01 
50.0 0.21 0.00 
50.0 0.27 0.01 
50.0 0.22 0.00 
50.0 0.22 0.01 
50.0 0.24 0.01 
50.0 0.26 0.01 
55.0kHz
55.0 0.00 0.00 
55.0 0.00 0.00 
55.0 0.00 0.00 
55.0 0.00 0.00 
55.0 0.00 0.00 
55.0 0.00 0.00 
55.0 0.00 0.00 
55.0 0.00 0.00 
55.0 0.00 0.00 
55.0 0.00 0.00 
55.0 0.00 0.00 
55.0 0.00 0.00 
55.0 0.00 0.00 
