increase_frequency:10000,,,first_frequency:10,last_frequency:100,
frequency,,,transmission_ep,receiving_ep,power_efficiency
10kHz,,,,,
40,,4.7,0.78,1.17,
40,,4.8,0.78,1.15,
40,,4.9,0.78,1.15,
40,,5,0.78,1.15,
50.0kHz,,,,,
50,,0.1,0.34,0.57,
50,,0.2,0.1,0.29,
50,,0.3,0,0.17,
50,,0.4,0,0.09,
50,,0.5,0,0.06,
50,,0.6,0,0.06,
50,,0.7,0,0.06,
50,,0.8,0,0.06,
50,,0.9,0,0.05,
50,,1,0,0.05,
50,,1.1,0,0.06,
50,,1.2,0,0.06,
50,,1.3,0,0.05,
50,,1.4,0,0.07,
50,,1.5,0,0.06,
50,,1.6,0,0.06,
50,,1.7,0,0.06,
50,,1.8,0,0.06,
50,,1.9,0,0.05,
50,,2,0,0.05,
50,,2.1,0,0.06,
50,,2.2,0,0.06,
50,,2.3,0,0.05,
50,,2.4,0,0.05,
50,,2.5,0,0.06,
50,,2.6,0,0.09,
50,,2.7,0,0.06,
50,,2.8,0,0.05,
50,,2.9,0,0.05,
50,,3,0,0.04,
50,,3.1,0,0.04,
50,,3.2,0,0.06,
50,,3.3,0,0.05,
50,,3.4,0,0.06,
50,,3.5,0,0.05,
50,,3.6,0,0.04,
50,,3.7,0,0.05,
50,,3.8,0,0.05,
50,,3.9,0,0.05,
50,,4,0,0.04,
50,,4.1,0,0.04,
50,,4.2,0,0.04,
50,,4.3,0,0.05,
50,,4.4,0,0.03,
50,,4.5,0,0.04,
50,,4.6,0,0.05,
50,,4.7,0,0.05,
50,,4.8,0,0.04,
50,,4.9,0,0.07,
50,,5,0,0.04,
60.0kHz,,,,,
60,,0.1,0.21,0.45,
60,,0.2,0.22,0.47,
60,,0.3,0.21,0.47,
60,,0.4,0.2,0.46,
60,,0.5,0.19,0.45,
60,,0.6,0.19,0.45,
60,,0.7,0.2,0.46,
60,,0.8,0.19,0.42,
60,,0.9,0.19,0.45,
60,,1,0.19,0.45,
60,,1.1,0.19,0.44,
60,,1.2,0.2,0.45,
60,,1.3,0.19,0.45,
60,,1.4,0.16,0.44,
60,,1.5,0.18,0.45,
60,,1.6,0.19,0.45,
60,,1.7,0.2,0.45,
60,,1.8,0.21,0.45,
60,,1.9,0.2,0.45,
60,,2,0.19,0.45,
60,,2.1,0.19,0.45,
60,,2.2,0.2,0.45,
60,,2.3,0.2,0.45,
60,,2.4,0.19,0.45,
60,,2.5,0.19,0.45,
60,,2.6,0.18,0.45,
60,,2.7,0.2,0.45,
60,,2.8,0.2,0.43,
60,,2.9,0.2,0.45,
60,,3,0.19,0.44,
60,,3.1,0.19,0.45,
60,,3.2,0.2,0.44,
60,,3.3,0.19,0.44,
60,,3.4,0.19,0.45,
60,,3.5,0.2,0.45,
60,,3.6,0.19,0.44,
60,,3.7,0.23,0.44,
60,,3.8,0.19,0.44,
60,,3.9,0.19,0.43,
60,,4,0.19,0.44,
60,,4.1,0.19,0.45,
60,,4.2,0.19,0.43,
60,,4.3,0.19,0.44,
60,,4.4,0.19,0.44,
60,,4.5,0.19,0.44,
60,,4.6,0.19,0.44,
60,,4.7,0.18,0.43,
60,,4.8,0.19,0.43,
60,,4.9,0.19,0.43,
60,,5,0.18,0.44,
70.0kHz,,,,,
70,,0.1,0.75,1.35,
70,,0.2,0.76,1.35,
70,,0.3,0.73,1.35,
70,,0.4,0.77,1.35,
70,,0.5,0.76,1.35,
70,,0.6,0.76,1.36,
70,,0.7,0.76,1.34,
70,,0.8,0.76,1.35,
70,,0.9,0.75,1.33,
70,,1,0.76,1.37,
70,,1.1,0.76,1.36,
70,,1.2,0.79,1.34,
70,,1.3,0.77,1.36,
70,,1.4,0.77,1.35,
70,,1.5,0.77,1.35,
70,,1.6,0.77,1.35,
70,,1.7,0.76,1.36,
70,,1.8,0.76,1.35,
70,,1.9,0.77,1.35,
70,,2,0.77,1.35,
70,,2.1,0.77,1.35,
70,,2.2,0.76,1.35,
70,,2.3,0.75,1.33,
70,,2.4,0.75,1.33,
70,,2.5,0.77,1.35,
70,,2.6,0.75,1.35,
70,,2.7,0.76,1.33,
70,,2.8,0.76,1.35,
70,,2.9,0.78,1.34,
70,,3,0.76,1.33,
70,,3.1,0.75,1.33,
70,,3.2,0.77,1.35,
70,,3.3,0.78,1.37,
70,,3.4,0.72,1.34,
70,,3.5,0.76,1.33,
70,,3.6,0.75,1.37,
70,,3.7,0.75,1.32,
70,,3.8,0.77,1.33,
70,,3.9,0.74,1.32,
70,,4,0.75,1.33,
70,,4.1,0.76,1.34,
70,,4.2,0.74,1.34,
70,,4.3,0.75,1.34,
70,,4.4,0.75,1.34,
70,,4.5,0.76,1.37,
70,,4.6,0.75,1.32,
70,,4.7,0.76,1.32,
70,,4.8,0.75,1.35,
70,,4.9,0.74,1.32,
70,,5,0.75,1.32,
80.0kHz,,,,,
80,,0.1,1.41,2.18,
80,,0.2,1.46,2.19,
80,,0.3,1.44,2.18,
80,,0.4,1.45,2.19,
80,,0.5,1.45,2.16,
80,,0.6,1.44,2.19,
80,,0.7,1.46,2.18,
80,,0.8,1.44,2.19,
80,,0.9,1.44,2.18,
80,,1,1.44,2.19,
80,,1.1,1.48,2.18,
80,,1.2,1.44,2.17,
80,,1.3,1.44,2.18,
80,,1.4,1.45,2.18,
80,,1.5,1.44,2.18,
80,,1.6,1.44,2.16,
80,,1.7,1.44,2.18,
80,,1.8,1.42,2.19,
80,,1.9,1.45,2.18,
80,,2,1.48,2.19,
80,,2.1,1.43,2.18,
80,,2.2,1.44,2.18,
80,,2.3,1.43,2.18,
